Gewinde,Nenndurchmesser D,Steigung P,Gewindetyp,Reihe,Flankendurchmesser d2 = D2,Kerndurchmesser d3,Spannungsquerschnitt As,Montagezugspannung Schaftschrauben µ1 = 0.08 - 10.9 (940 N/mm²),Montagezugspannung Schaftschrauben µ1 = 0.08 - 12.9 (1100 N/mm²),Montagezugspannung Schaftschrauben µ1 = 0.08 - 8.8 (640 N/mm²),Montagezugspannung Schaftschrauben µ1 = 0.08 - 8.8 (660 N/mm²),Montagezugspannung Schaftschrauben µ2 = 0.10 - 10.9 (940 N/mm²),Montagezugspannung Schaftschrauben µ2 = 0.10 - 12.9 (1100 N/mm²),Montagezugspannung Schaftschrauben µ2 = 0.10 - 8.8 (640 N/mm²),Montagezugspannung Schaftschrauben µ2 = 0.10 - 8.8 (660 N/mm²),Montagezugspannung Schaftschrauben µ3 = 0.12 - 10.9 (940 N/mm²),Montagezugspannung Schaftschrauben µ3 = 0.12 - 12.9 (1100 N/mm²),Montagezugspannung Schaftschrauben µ3 = 0.12 - 8.8 (640 N/mm²),Montagezugspannung Schaftschrauben µ3 = 0.12 - 8.8 (660 N/mm²),Montagezugspannung Schaftschrauben µ4 = 0.14 - 10.9 (940 N/mm²),Montagezugspannung Schaftschrauben µ4 = 0.14 - 12.9 (1100 N/mm²),Montagezugspannung Schaftschrauben µ4 = 0.14 - 8.8 (640 N/mm²),Montagezugspannung Schaftschrauben µ4 = 0.14 - 8.8 (660 N/mm²),Montagezugspannung Schaftschrauben µ5 = 0.16 - 10.9 (940 N/mm²),Montagezugspannung Schaftschrauben µ5 = 0.16 - 12.9 (1100 N/mm²),Montagezugspannung Schaftschrauben µ5 = 0.16 - 8.8 (640 N/mm²),Montagezugspannung Schaftschrauben µ5 = 0.16 - 8.8 (660 N/mm²),"Vorspannkraft Schaftschrauben F_sp, µ1 = 0.08 - 10.9 (940 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ1 = 0.08 - 12.9 (1100 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ1 = 0.08 - 8.8 (640 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ1 = 0.08 - 8.8 (660 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ2 = 0.10 - 10.9 (940 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ2 = 0.10 - 12.9 (1100 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ2 = 0.10 - 8.8 (640 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ2 = 0.10 - 8.8 (660 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ3 = 0.12 - 10.9 (940 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ3 = 0.12 - 12.9 (1100 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ3 = 0.12 - 8.8 (640 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ3 = 0.12 - 8.8 (660 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ4 = 0.14 - 10.9 (940 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ4 = 0.14 - 12.9 (1100 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ4 = 0.14 - 8.8 (640 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ4 = 0.14 - 8.8 (660 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ5 = 0.16 - 10.9 (940 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ5 = 0.16 - 12.9 (1100 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ5 = 0.16 - 8.8 (640 N/mm²)","Vorspannkraft Schaftschrauben F_sp, µ5 = 0.16 - 8.8 (660 N/mm²)",Montagezugspannung Dehnschrauben µ1 = 0.08 - 10.9 (940) N/mm²,Montagezugspannung Dehnschrauben µ1 = 0.08 - 12.9 (1100) N/mm²,Montagezugspannung Dehnschrauben µ1 = 0.08 - 8.8 (640) N/mm²,Montagezugspannung Dehnschrauben µ1 = 0.08 - 8.8 (660) N/mm²,Montagezugspannung Dehnschrauben µ2 = 0.10 - 10.9 (940) N/mm²,Montagezugspannung Dehnschrauben µ2 = 0.10 - 12.9 (1100) N/mm²,Montagezugspannung Dehnschrauben µ2 = 0.10 - 8.8 (640) N/mm²,Montagezugspannung Dehnschrauben µ2 = 0.10 - 8.8 (660) N/mm²,Montagezugspannung Dehnschrauben µ3 = 0.12 - 10.9 (940) N/mm²,Montagezugspannung Dehnschrauben µ3 = 0.12 - 12.9 (1100) N/mm²,Montagezugspannung Dehnschrauben µ3 = 0.12 - 8.8 (640) N/mm²,Montagezugspannung Dehnschrauben µ3 = 0.12 - 8.8 (660) N/mm²,Montagezugspannung Dehnschrauben µ4 = 0.14 - 10.9 (940) N/mm²,Montagezugspannung Dehnschrauben µ4 = 0.14 - 12.9 (1100) N/mm²,Montagezugspannung Dehnschrauben µ4 = 0.14 - 8.8 (640) N/mm²,Montagezugspannung Dehnschrauben µ4 = 0.14 - 8.8 (660) N/mm²,Montagezugspannung Dehnschrauben µ5 = 0.16 - 10.9 (940) N/mm²,Montagezugspannung Dehnschrauben µ5 = 0.16 - 12.9 (1100) N/mm²,Montagezugspannung Dehnschrauben µ5 = 0.16 - 8.8 (640) N/mm²,Montagezugspannung Dehnschrauben µ5 = 0.16 - 8.8 (660) N/mm²,"Vorspannkraft Dehnschrauben F_sp, µ1 = 0.08 - 10.9 (940) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ1 = 0.08 - 12.9 (1100) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ1 = 0.08 - 8.8 (640) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ1 = 0.08 - 8.8 (660) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ2 = 0.10 - 10.9 (940) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ2 = 0.10 - 12.9 (1100) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ2 = 0.10 - 8.8 (640) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ2 = 0.10 - 8.8 (660) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ3 = 0.12 - 10.9 (940) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ3 = 0.12 - 12.9 (1100) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ3 = 0.12 - 8.8 (640) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ3 = 0.12 - 8.8 (660) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ4 = 0.14 - 10.9 (940) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ4 = 0.14 - 12.9 (1100) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ4 = 0.14 - 8.8 (640) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ4 = 0.14 - 8.8 (660) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ5 = 0.16 - 10.9 (940) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ5 = 0.16 - 12.9 (1100) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ5 = 0.16 - 8.8 (640) N/mm²","Vorspannkraft Dehnschrauben F_sp, µ5 = 0.16 - 8.8 (660) N/mm²"
M1.0,1.0,0.25,Regelgewinde,Reihe 1,0.838,0.693,0.46,746.8,873.9,508.4,,726.1,849.7,494.3,,704.9,824.9,479.9,,683.5,799.9,465.4,,662.2,775.0,450.9,,343.5,402.0,233.9,,334.0,390.9,227.4,,324.3,379.5,220.8,,314.4,368.0,214.1,,304.6,356.5,207.4,,708.2108657041119,828.7573960367267,482.1861213304592,,682.0023990912892,798.0879138302321,464.3420589557714,,655.9291125639993,767.5766210855311,446.59003408612716,,630.3505082533563,737.6442117858425,429.1748141299447,,605.5247298084216,708.5927689247487,412.27215646530834,,216.37344266790447,253.20296482414352,147.31808862495623,,208.36620016051188,243.8327874218756,141.86634904545488,,200.40025803680905,234.51094025584038,136.4427288761253,,192.58545182392862,225.36595426204414,131.12200975246205,,185.00064988263023,216.49012220307793,125.95788928179078,
M1.0x0.2,1.0,0.2,Feingewinde,Reihe 1,0.87,0.755,0.518,768.5,899.3,523.3,,749.2,876.8,510.1,,729.1,853.2,496.4,,708.4,829.0,482.3,,687.5,804.6,468.1,,398.1,465.8,271.1,,388.1,454.2,264.20000000000005,,377.7,442.0,257.1,,367.0,429.4,249.8,,356.1,416.8,242.5,,741.1929833807212,867.3534911902058,504.6420312379379,,716.7459715736005,838.7452858840006,487.9972572416004,,691.8254308625752,809.5829510093965,471.0300805872853,,666.8796872297756,780.3911233539927,454.0457444968685,,642.2583510627513,751.5789214564111,437.28228157463917,,268.78195151877406,314.532070926225,183.00047762980364,,259.91662806097605,304.1577562415677,176.96451272236666,,250.87958681071927,293.5824952040332,170.8116335732557,,241.83340611817104,282.9965390744555,164.65253182513774,,232.9048666792416,272.54824824166565,158.57352624969639,
M1.1,1.1,0.25,Regelgewinde,Reihe 2,0.938,0.793,0.588,757.1,886.0,515.5,,737.0,862.5,501.80000000000007,,716.3,838.2,487.7000000000001,,695.2,813.5,473.3,,674.0,788.8,458.9,,445.2,521.0,303.1,,433.4,507.2,295.1,,421.2,492.9,286.8,,408.8,478.3,278.3,,396.3,463.8,269.8,,723.9533239879859,847.1794216880686,492.9043908003308,,698.4582848555156,817.3448014266671,475.5460662846063,,672.8212571400167,787.3440243127855,458.0910686910752,,647.4466171554785,757.6502966713047,440.81471806330455,,622.6367978568829,728.6175294069907,423.92292620043094,,289.6221954716971,338.91959044560303,197.18957989562358,,279.42274066913114,326.9840582298343,190.24527024281267,,269.16648241835094,314.9820538938149,183.26228590185596,,259.0151940712754,303.10288667915205,176.35077043150665,,249.08986588169918,291.48814092539266,169.59310017477392,
M1.1x0.2,1.1,0.2,Feingewinde,Reihe 2,0.97,0.855,0.654,775.5,907.5,528.0,,756.7,885.6,515.2,,737.0,862.5,501.80000000000007,,716.7,838.7,487.9,,696.0,814.5,473.9,,507.2,593.5,345.3,,494.9,579.2,336.90000000000003,,482.0,564.1,328.20000000000005,,468.7,548.5,319.1,,455.2,532.7,309.90000000000003,,751.4802726562876,879.3918084275706,511.646143085132,,727.7812910327685,851.6589575915377,495.5106662350765,,703.3969711402759,823.1241151641526,478.908576095507,,678.7994230593727,794.3397503886276,462.1613093170197,,654.365814405933,765.7472296239641,445.5256608721246,,349.48192078859097,408.9682051781383,237.94513755818957,,338.4605195357743,396.070820733353,230.44120479031446,,327.12039623083496,382.8004636743813,222.72026977418548,,315.68110944873786,369.41406424852306,214.93181919914068,,304.3180640106756,356.116883416748,207.19527762428976,
M1.2,1.2,0.25,Regelgewinde,Reihe 1,1.038,0.893,0.732,765.1,895.4,520.9000000000001,,745.6,872.5,507.6,,725.2,848.6,493.8,,704.4,824.3,479.6,,683.4,799.7,465.3,,560.1,655.4,381.3,,545.8,638.7,371.6,,530.8,621.2,361.5,,515.6,603.4,351.1,,500.2,585.4,340.6,,736.0050165001869,861.28246611724,501.1097984682123,,711.1963645454426,832.251064893603,484.2188013926418,,686.0167526975401,802.7855616673343,467.0752358791763,,660.9027010261481,773.3967777965562,449.97630708163274,,636.1903460229655,744.4780644949597,433.15087388797656,,373.3864834251306,436.94162954004645,254.22058445966337,,360.800678839249,422.21356034380193,245.65152601821205,,348.02668068553436,407.2652646320083,236.95433578589578,,335.28594220153826,392.3558898103107,228.2797904350899,,322.74899051652295,377.68498890231405,219.74399354316458,
M1.2x0.2,1.2,0.2,Feingewinde,Reihe 1,1.07,0.955,0.805,780.9,913.8,531.7,,762.7,892.5,519.3,,743.3,869.9,506.1,,723.3,846.4,492.4,,702.8,822.4,478.5,,628.6,735.6,428.0,,614.0,718.5,418.0,,598.4,700.3,407.4,,582.3,681.4,396.4,,565.8,662.0,385.2000000000001,,759.4458514324041,888.7132303996218,517.0695158688709,,736.4085915113603,861.7547347473364,501.38457294390486,,712.5149474381602,833.7940874276343,485.11655995789636,,688.2531845155517,805.4026627309647,468.5979128616522,,664.0208056334219,777.0456236135789,452.0992719206277,,440.63445913889944,515.636069205095,300.0064402647826,,427.2681203193439,499.9946088843385,290.9059542599788,,413.40490293104136,483.77169491930374,281.46716795304945,,399.3281010589972,467.298841664784,271.8829624231471,,385.2683479610813,450.84593910339305,262.3103645692469,
M1.4x0.2,1.4,0.2,Feingewinde,Reihe 2,1.27,1.155,1.155,788.8,923.1,537.1,,771.4,902.7,525.2,,752.7,880.8,512.5,,733.1,857.9,499.1,,713.0,834.3,485.4,,911.1,1066.2,620.4000000000001,,891.0,1042.6,606.6,,869.4,1017.3,591.9000000000001,,846.7,990.9,576.5,,823.5,963.6,560.6,,770.9079028606883,902.1262693050608,524.8734657774899,,748.9668426403167,876.4505605365408,509.9348715848965,,725.9129537166895,849.4726054131472,494.2386067858311,,702.2532390852219,821.7857053124937,478.12986490908725,,678.4121327291134,793.8865383000264,461.8976222836517,,654.246437511796,765.6075332584848,445.4443829867547,,635.6257171492964,743.8173285789638,432.7664457186699,,616.0605724113764,720.9219464388447,419.44549610987326,,595.9812815483008,697.424903939501,405.77448956480055,,575.7480489637821,673.747716872511,391.9986716349155,
M1.4x0.25,1.4,0.25,Feingewinde,Reihe 2,1.238,1.093,1.067,776.6,908.8,528.8,,758.0,887.0,516.1,,738.3,864.0,502.7,,718.0,840.2,488.9,,697.4,816.1,474.8,,828.6,969.7,564.2,,808.8,946.4,550.7,,787.8,921.9,536.4000000000001,,766.1,896.5,521.7,,744.1,870.8,506.6,,753.0883385915259,881.2735877134878,512.7409964878475,,729.4960514059582,853.6655920708021,496.67816265937574,,705.1835774822198,825.214824713236,480.12498892406455,,680.627577515031,796.4790800707809,463.40601022299984,,656.2102001306208,767.9055533443435,446.78141285489073,,572.3492879304986,669.7704433229238,389.68462156970116,,554.4190822967666,648.7882877940887,377.47682198928794,,535.9415326853816,627.1656233552338,364.89636267940875,,517.2789025855349,605.3263753660514,352.1898911220663,,498.72162604446544,583.6104134562894,339.5551496472956,
M1.4,1.4,0.3,Regelgewinde,Reihe 2,1.205,1.032,0.983,762.7,892.5,519.3,,743.0,869.4,505.80000000000007,,722.5,845.5,491.9,,701.6,821.0,477.7000000000001,,680.6,796.4,463.4,,749.7,877.3,510.5,,730.4,854.6,497.2,,710.2,831.1,483.5,,689.7,807.0,469.6,,669.0,782.9,455.5,,732.4395078459926,857.11006237297,498.6822181079098,,707.4320067495198,827.8459653451828,481.65583438265185,,682.1229004101015,798.2289260118209,464.4241024068776,,656.9386639092168,768.758010957594,447.2773881935093,,632.2049960457639,739.81435707483,430.43744411626477,,496.25632716175596,580.7254892318421,337.87664828034445,,479.3127700315218,560.8979223773127,326.34060938316384,,462.16486358845896,540.8312233481967,314.66543903895075,,445.1015613301516,520.8635292161348,303.047871543933,,428.3435368930854,501.2530750876531,291.6381527782709,
M1.6,1.6,0.35,Regelgewinde,Reihe 1,1.373,1.171,1.271,760.8,890.3,518.0,,741.0,867.1,504.5,,720.4,843.0,490.5,,699.4,818.5,476.2000000000001,,678.4,793.9,461.9,,967.0,1131.6,658.4000000000001,,941.8,1102.1,641.2,,915.6,1071.5,623.4000000000001,,888.9,1040.3,605.3,,862.2,1009.0,587.1,,729.6362445527585,853.8296478808876,496.77361331251643,,704.4644479413782,824.3732901441659,479.6353688111511,,679.0445289821398,794.6265764684614,462.3281899452867,,653.7956400813141,765.0800043504739,445.1374570766394,,629.0357246932987,736.1056352793921,428.2796423443736,,636.4951368190113,744.8347345754387,433.3583910257098,,614.5366249608709,719.1386036776147,418.4079148669759,,592.3616646067478,693.1891819866197,403.31006951948785,,570.3359016112296,667.4143529493111,388.3138053523265,,548.7366926215745,642.1386828550342,373.60796093383806,
